X,Y,OBJECTID,DIVISION,LOCATION,PREC
6473747.20494418,1734313.75343426,1,HARBOR,2175 JOHN S. GIBSON BLVD.,5
6478136.92024609,1800159.994773,2,SOUTHEAST,145 W. 108TH ST.,18
6477478.5731376,1811690.88870592,3,77TH STREET,7600 S. BROADWAY,12
6434403.50869735,1819609.349575,4,PACIFIC,12312 CULVER BLVD.,14
6469193.36989176,1826369.31538576,5,SOUTHWEST,1546 MARTIN LUTHER KING JR. BLVD.,3
6484051.92121135,1826975.81876592,6,NEWTON,3400 S. CENTRAL AVE.,13
6486754.66514967,1838492.09953909,7,CENTRAL,251 E. 6TH ST.,1
6425110.38883217,1838618.05105884,8,WEST LOS ANGELES,1663 BUTLER AVE.,8
6497123.94165517,1838828.37019201,9,HOLLENBECK,2111 E. 1ST ST.,4
6457816.49894476,1839569.88773784,10,WILSHIRE,4861 VENICE BLVD.,7
6473467.60412543,1840780.00506826,11,OLYMPIC,1130 S. VERMONT AVE.,20
6480803.36110742,1843118.53943317,12,RAMPART,1401 W. 6TH ST.,2
6461558.96029185,1857420.61909667,13,HOLLYWOOD,1358 N. WILCOX AVE.,6
6486180.20796525,1865853.45754592,14,NORTHEAST,3353 SAN FERNANDO RD.,11
6444956.01876026,1885087.07688701,15,NORTH HOLLYWOOD,11640 BURBANK BLVD.,15
6427018.47720759,1889546.24250934,16,VAN NUYS, 6240 SYLMAR AVE.,9
6396120.33624808,1893212.10460018,17,WEST VALLEY,19020 VANOWEN ST.,10
6380401.4090246,1903484.18051267,18,TOPANGA,21501 SCHOENBORN ST.,21
6437648.77779734,1914738.1990151,19,FOOTHILL,12760 OSBORNE ST.,16
6401105.50016226,1916320.62498409,20,DEVONSHIRE,10250 ETIWANDA AVE.,17
6420222.21947467,1922052.0994135,21,MISSION,11121 N. SEPULVEDA BLVD.,19